label,value,headline
regionale Einkaufsführer,einkaufsführer,
Lebensmittel,"bio,Lebensmittel,vegan,weltladen",
Handwerk,handwerk,
Einzelhandel,einzelhandel,
Café,"café,kaffee",Gastronomie
Restaurant,"restaurant,essen",Gastronomie
Bar,"bar,getränke",Gastronomie
Yoga,yoga,Wellness & Gesundheit
Massage,massage,Wellness & Gesundheit
Fitness,fitness,Wellness & Gesundheit
Buchhandlung,bücher,Bildung & Kultur
Museum,museum,Bildung & Kultur
Theater,theater,Bildung & Kultur
Werkstatt,werkstatt,
Second Hand,secondhand,
